Date,Hour,DryBulb,DewPnt,SYSLoad,NumDate
2004-01-01,1,37,25,12230,7.32E+05
2004-01-01,2,37,25,11534,7.32E+05
2004-01-01,3,39,24,11038,7.32E+05
2004-01-01,4,38,22,10777,7.32E+05
2004-01-01,5,37,20,10764,7.32E+05
2004-01-01,6,36,19,11032,7.32E+05
2004-01-01,7,35,20,11508,7.32E+05
2004-01-01,8,35,20,11806,7.32E+05
2004-01-01,9,35,21,12457,7.32E+05
2004-01-01,10,37,21,13214,7.32E+05
2004-01-01,11,38,22,13783,7.32E+05
2004-01-01,12,39,22,14156,7.32E+05
2004-01-01,13,40,22,14182,7.32E+05
2004-01-01,14,40,22,13988,7.32E+05
2004-01-01,15,40,22,13727,7.32E+05
2004-01-01,16,40,22,13856,7.32E+05
2004-01-01,17,38,22,15215,7.32E+05
2004-01-01,18,36,22,16593,7.32E+05
2004-01-01,19,35,22,16483,7.32E+05
2004-01-01,20,35,22,16135,7.32E+05
2004-01-01,21,34,22,15681,7.32E+05
2004-01-01,22,33,22,14872,7.32E+05
2004-01-01,23,32,23,13769,7.32E+05
2004-01-01,24,31,23,12640,7.32E+05
2004-01-02,1,30,22,11728,7.32E+05
2004-01-02,2,29,22,11275,7.32E+05
2004-01-02,3,28,22,11083,7.32E+05
2004-01-02,4,28,22,11071,7.32E+05
2004-01-02,5,28,23,11304,7.32E+05
2004-01-02,6,29,24,12053,7.32E+05
2004-01-02,7,30,25,13372,7.32E+05
2004-01-02,8,30,25,14656,7.32E+05
2004-01-02,9,30,26,15658,7.32E+05
2004-01-02,10,30,27,16472,7.32E+05
2004-01-02,11,31,29,16889,7.32E+05
2004-01-02,12,31,30,17015,7.32E+05
2004-01-02,13,32,30,16869,7.32E+05
2004-01-02,14,33,31,16595,7.32E+05
2004-01-02,15,33,31,16387,7.32E+05
2004-01-02,16,33,31,16414,7.32E+05
2004-01-02,17,33,32,17327,7.32E+05
2004-01-02,18,33,32,18164,7.32E+05
2004-01-02,19,34,32,17766,7.32E+05
2004-01-02,20,33,32,17144,7.32E+05
2004-01-02,21,33,32,16461,7.32E+05
2004-01-02,22,32,31,15562,7.32E+05
2004-01-02,23,32,31,14357,7.32E+05
2004-01-02,24,32,31,13086,7.32E+05
2004-01-03,1,33,32,12017,7.32E+05
2004-01-03,2,33,32,11362,7.32E+05
2004-01-03,3,33,31,11030,7.32E+05
